,Text,Date,Year,hashtag,Cleaned
127,@narendramodi #MannKiBaat initiative is really good. The residential welfare associations should also be empowered to a certain extent.,2014-11-09,2014,['MannKiBaat'],initiative really good residential welfare associations should also empowered certain extent
128,.@AmirKingKhan करोड़ो रुपये लेकर ज्ञान बांट रहे हैं #MumKinHai | @narendramodi ji free में देते हैं #MannKiBaat,2014-11-09,2014,"['MumKinHai', 'MannKiBaat']",free
130,@narendramodi @PMOIndia #mannkibaat me DAHEJ PRATHA ke baare me charcha Ho bahut jaruri hai,2014-11-09,2014,['mannkibaat'],dahej pratha baare charcha bahut jaruri
132,#MannkiBaat there should be mutual respect among both man and woman,2014-11-09,2014,['MannkiBaat'],there should mutual respect among both woman
133,"#MannkiBaat stop objectification of women in Indian cinema, it will bring an implicit change in basic thinking since cinema has huge impact",2014-11-09,2014,['MannkiBaat'],stop objectification women indian cinema will bring implicit change basic thinking since cinema huge impact
135,"@narendramodi: Sir, please also add Cigarette smoking &amp; Alcohol drinking in discussion of your next On-Air show #MannKiBaat.",2014-11-09,2014,['MannKiBaat'],please also cigarette smoking alcohol drinking discussion your next onair show
137,"""#MannKiBaat Tann ka mail saaf ho sakta hai par mann ka nahi #SayNoToDrugs watch #ManaliTrance  http://t.co/bDJgskI6Fj "" @adeeb_semite",2014-11-08,2014,"['MannKiBaat', 'SayNoToDrugs', 'ManaliTrance']",tann mail saaf sakta mann nahi watch
138,"@KirtiAzadMP Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! :)",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti
139,"Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! @mishrashiv @India_Policy @DrGPradhan",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti
140,"Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! @RDATT26 @anilkohli54 @anilkapurk",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti
141,"Ek Zamana Tha Jab #MannuKiBaat Ke Liye Desh Tarasta Thaa, Ab #MannKiBaat Bhi Sunayee Deti Hai ! @thekiranbedi @ashokepandit @ThinkersPad",2014-11-08,2014,"['MannuKiBaat', 'MannKiBaat']",zamana liye desh tarasta thaa sunayee deti
142,"'#MannKiBaat , work is worship, if u r truthful and honest then u are incorruptible, I have followed my late father's footsteps @PMOIndia",2014-11-08,2014,['MannKiBaat'],work worship truthful honest then incorruptible have followed late fathers footsteps
143,@shikha_shrivas so did I!Saw another poster now where Kejri promised to take ppl's opinions to PM via #MannKiBaat! He's smoking something!,2014-11-08,2014,['MannKiBaat'],isaw another poster where kejri promised take ppls opinions smoking something
145,"I am not crazy.
I am special

...NO, wait...
Maybe I am crazy.

One second...
I have to talk to myself about this. Hold on...

#MannKiBaat",2014-11-07,2014,['MannKiBaat'],crazyi specialno waitmaybe crazyone secondi have talk myself about this hold
146,"On PM Narendra Modi after 6 months to get marks on his government, then sincerely he should get 7 out of 10 #Mannkibaat",2014-11-07,2014,['Mannkibaat'],narendra modi after months marks government then sincerely should
147,"That feeling when you don't even know what the fuck you're feeling.

#MannKiBaat",2014-11-07,2014,['MannKiBaat'],that feeling when dont even know what fuck youre feeling
148,PM Narendra Modi is the biggest Marketing King but he also promises on development and progress #Mannkibaat,2014-11-07,2014,['Mannkibaat'],narendra modi biggest marketing king also promises development progress
149,"Bhoot?

I NO LIKE BHOOT.

#Mannkibaat",2014-11-07,2014,['Mannkibaat'],bhooti like bhoot
150,Falling in love is much more fun than being in love #MannKiBaat,2014-11-07,2014,['MannKiBaat'],falling love much more than being love
151,"The first #mannkibaat  programme was broadcast on the occassion of Vijayadashami on 03 October, 2014",2014-11-07,2014,['mannkibaat'],first programme broadcast occassion vijayadashami october
152,"#MannKiBaat ksohish bahut ki karne ki , sacchai share karne ki par har jagah Politics hai 
n twitter is no exception",2014-11-07,2014,['MannKiBaat'],ksohish bahut karne sacchai share karne jagah politics twitter exception
153,"@narendramodi Make all Central Govt. Offices (at least) Paper Free, #SaveTrees #mannkibaat @narendramodi_in",2014-11-07,2014,"['SaveTrees', 'mannkibaat']",make central govt offices least paper free
154,@sambitswaraj what a great comparision.. #MannKiBaat Vs Madam ke mann ki baat.. LOL ;),2014-11-07,2014,['MannKiBaat'],what great comparision madam mann baat
